Stop_Code,Stop_Name,Location_Easting,Location_Northing,Road_Name,Borough,Borough_ID,Suggested_Locality,Locality_ID
10805,Frimley Close,538635,163328,Headley Drive,Croydon,20,Addington,409
19605,Goldcrest Community Centre,538665,163118,Goldcrest Way,Croydon,20,Addington,409
15812,Goldcrest Way / King Henry'S Drive,538644,162911,Goldcrest Way,Croydon,20,Addington,409
19405,New Addington Tram Stop >T<,538150,162337,Tram Stop Slip Road,Croydon,20,Addington,409
19604,Fieldway,537553,163406,Lodge Lane,Croydon,20,Addington,409
11607,Applegarth,537682,163430,Fieldway,Croydon,20,Addington,409
18611,The Coppins,537928,163634,Fieldway,Croydon,20,Addington,409
18200,Foxcombe,537907,163761,Fieldway,Croydon,20,Addington,409
21007,Merrow Way,538430,163521,Merrow Way,Croydon,20,Addington,409
21004,Walsingham Road,538368,162357,Gascoigne Road,Croydon,20,Addington,409
17704,Frensham Drive,538132,163350,Headley Drive,Croydon,20,Addington,409
15111,Dunley Drive,537919,163203,Headley Drive,Croydon,20,Addington,409
17711,Ivers Way,537760,163158,Headley Drive,Croydon,20,Addington,409
15511,Meridian High School,539342,161480,King Henry'S Drive,Croydon,20,Addington,409
10713,Addington Village Interchange >T<,537064,163772,Addington Village Interchange,Croydon,20,Addington,409
15508,Addington Village Interchange <T>,537083,163770,Addington Village Interchange,Croydon,20,Addington,409
15505,Addington Village Interchange,537106,163768,Addington Village Interchange,Croydon,20,Addington,409
19813,Kestrel Way,538767,162820,King Henry'S Drive,Croydon,20,Addington,409
12512,Redstart Close,539048,162111,King Henry'S Drive,Croydon,20,Addington,409
18712,Vulcan Way,538983,162362,King Henry'S Drive,Croydon,20,Addington,409
15907,Brierley,537860,163542,Fieldway,Croydon,20,Addington,409
16512,Warbank Crescent,539193,161838,King Henry'S Drive,Croydon,20,Addington,409
18209,Betchworth Way,538052,162806,King Henry'S Drive,Croydon,20,Addington,409
10802,Tilford Avenue,538312,162906,King Henry'S Drive,Croydon,20,Addington,409
18701,Canning Road,533653,166209,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17707,Lower Addiscombe Road / Davidson Road,533149,166360,Lower Addiscombe Road,Croydon,20,Addiscombe,228
12501,Ashburton Road,534022,165756,Addiscombe Road,Croydon,20,Addiscombe,228
12901,Northway Road,533972,166759,Morland Road,Croydon,20,Addiscombe,228
19409,Parkview Road,534408,166512,Lower Addiscombe Road,Croydon,20,Addiscombe,228
21009,Davidson Road,533084,166369,Lower Addiscombe Road,Croydon,20,Addiscombe,228
19810,Ashburton Park,534831,166870,Lower Addiscombe Road,Croydon,20,Addiscombe,228
19809,Brockenhurst Road,534685,166677,Lower Addiscombe Road,Croydon,20,Addiscombe,228
15504,Addiscombe Tram Stop >T<,534241,166362,Lower Addiscombe Road,Croydon,20,Addiscombe,228
15501,Leslie Grove,533182,166266,Cherry Orchard Road,Croydon,20,Addiscombe,228
15906,Mapledale Avenue,534419,165669,Addiscombe Road,Croydon,20,Addiscombe,228
11713,Sandilands Tram Stop >T<,533875,165756,Addiscombe Road,Croydon,20,Addiscombe,228
17710,Woodside Green,534489,167178,Woodside Green,Croydon,20,Addiscombe,228
10706,Blackhorse Lane,534304,166988,Woodside Green,Croydon,20,Addiscombe,228
17412,Gordon Crescent,533568,166555,Morland Road,Croydon,20,Addiscombe,228
18602,Havelock Road,533966,166184,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17705,Bingham Road,534913,166378,Shirley Road,Croydon,20,Addiscombe,228
12904,Birch Tree Way,534692,165758,Addiscombe Road,Croydon,20,Addiscombe,228
20113,Alexandra Place,533123,166394,Davidson Road,Croydon,20,Addiscombe,228
14605,Brampton Road,533546,167078,Davidson Road,Croydon,20,Addiscombe,228
19503,Towpath Way,533746,167329,Canal Walk,Croydon,20,Addiscombe,228
12908,Lebanon Road Tram Stop >T<,533403,165746,Addiscombe Road,Croydon,20,Addiscombe,228
17703,Burnham Gardens,533758,166647,Morland Road,Croydon,20,Addiscombe,228
16407,Woodside Tram Stop >T<,534800,167105,Spring Lane,Croydon,20,Addiscombe,228
17012,Garrick Crescent,533153,165653,Park Hill Road,Croydon,20,Addiscombe,228
10804,Queenswood Gardens,540491,186950,Aldersbrook Road,Redbridge,14,Aldersbrook,161
21013,Park Road,540943,186862,Aldersbrook Road,Redbridge,14,Aldersbrook,161
14106,New Road,534648,181307,Commercial Road,Tower Hamlets,5,Aldgate,391
18711,Whitechapel Stn <> / Royal London Hosp,534670,181782,Whitechapel Road,Tower Hamlets,5,Aldgate,391
15108,Whitechapel Stn <> # / Royal London Hosp,534804,181849,Whitechapel Road,Tower Hamlets,5,Aldgate,391
19505,Sidney Street,535018,181906,Mile End Road,Tower Hamlets,5,Aldgate,391
18807,Darling Row,534973,182040,Cambridge Heath Road,Tower Hamlets,5,Aldgate,391
17113,The East London Mosque,534364,181656,Whitechapel Road,Tower Hamlets,5,Aldgate,391
16410,Booth Memorial,535098,181950,Mile End Road,Tower Hamlets,5,Aldgate,391
17008,Brushfield Street,533687,181751,Commercial Street,Tower Hamlets,5,Aldgate,391
19800,Lolesworth Close,533735,181624,Commercial Street,Tower Hamlets,5,Aldgate,391
18806,Aldgate East Station <>,533856,181395,Commercial Street,Tower Hamlets,5,Aldgate,391
20112,Cambridge Heath Road,534870,181874,Whitechapel Road,Tower Hamlets,5,Aldgate,391
17102,Aldgate Station <>,533689,181224,Aldgate High Street,City of London,0,Aldgate,391
10810,St Botolph Street,533660,181315,St Botolph Street,City of London,0,Aldgate,391
15503,Aldgate Bus Station,533653,181194,Aldgate Bus Station,City of London,0,Aldgate,391
17213,Commercial Road,534596,181203,Cannon Street Road,Tower Hamlets,5,Aldgate,391
18000,Old Montague Street,534437,181896,Vallance Road,Tower Hamlets,5,Aldgate,391
18706,Underwood Road,534409,182027,Vallance Road,Tower Hamlets,5,Aldgate,391
14606,Cavell Street,534872,181737,Cavell Street,Tower Hamlets,5,Aldgate,391
19411,Albert Road,529497,190857,Durnsford Road,Haringey,31,Alexandra Palace,375
12902,Palace Gates Road,530205,190496,Bedford Road,Haringey,31,Alexandra Palace,375
15804,Glacier Way,518082,183457,Ealing Road,Brent,28,Alperton,212
11112,Vicars Bridge Close,518164,183263,Ealing Road,Brent,28,Alperton,212
15901,Vicar'S Bridge,518247,183169,Hanger Lane,Ealing,27,Alperton,212
14108,Alperton Station <>,518079,183810,Ealing Road,Brent,28,Alperton,212
15800,Aintree Road,516990,183689,Bilton Road,Ealing,27,Alperton,212
17109,Lee Road,517206,183658,Bilton Road,Ealing,27,Alperton,212
11709,Brooklands Drive,517467,183637,Bilton Road,Ealing,27,Alperton,212
19501,Athlon Road,517820,183476,Glacier Way,Brent,28,Alperton,212
10106,Manor Farm Road,517592,183506,Manor Farm Road,Brent,28,Alperton,212
11603,Alperton Sainsbury'S,517854,183490,Glacier Way,Brent,28,Alperton,212
11010,Seymour Villas,534646,169771,Anerley Road,Bromley,19,Anerley,9
19808,Anerley Road / Anerley Station #,534540,169869,Anerley Road,Bromley,19,Anerley,9
15805,Anerley Park,534401,170017,Anerley Road,Bromley,19,Anerley,9
16510,Anerley Station #,534611,169877,Anerley Station Road,Bromley,19,Anerley,9
19901,Jasmine Grove,534705,169932,Anerley Station Road,Bromley,19,Anerley,9
10612,Barnet Way / Apex Corner,521035,192799,Watford Way (Barnet By-Pass),Barnet,30,Apex Corner,56
13603,Apex Corner,520988,192795,Watford Way (Barnet By-Pass),Barnet,30,Apex Corner,56
11605,Glendor Gardens,520862,192785,Selvage Lane,Barnet,30,Apex Corner,56
18704,The Fairway,520949,193427,Barnet Way (Barnet By-Pass),Barnet,30,Apex Corner,56
14103,Mill Hill / The Rising Sun,521832,193485,Highwood Hill,Barnet,30,Apex Corner,56
13202,Marsh Hill / Marsh Lane,521305,193202,Marsh Lane,Barnet,30,Apex Corner,56
12503,Brickfield Lane,521749,195210,Barnet Road,Barnet,30,Arkley,80
18005,Rowley Green Road,522385,195758,Barnet Road,Barnet,30,Arkley,80
18011,Bowes Road,530141,192043,Brownlow Road,Enfield,32,Arnos Grove,303
17406,Telford Road,529812,192302,Bowes Road,Enfield,32,Arnos Grove,303
18208,Broomfield Lane,530286,192464,Powys Lane,Enfield,32,Arnos Grove,303
17002,York Road,530093,191837,Brownlow Road,Enfield,32,Arnos Grove,303
19412,Pymmes Road,530412,192065,Bowes Road,Enfield,32,Arnos Grove,303
17304,Ravenscraig Road,529154,192468,Bowes Road,Enfield,32,Arnos Grove,303
15109,Riefield Road,544576,174505,Bexley Road,Greenwich,6,Avery HIll,88
20104,Blackfen Road / Boundary Road,545207,174499,Blackfen Road,Bexley,18,Avery HIll,88
14607,Rennets Wood Road,544927,174472,Bexley Road,Greenwich,6,Avery HIll,88
16406,Avery Hill / Riefield Road,544541,174625,Riefield Road,Greenwich,6,Avery HIll,88
10113,North Street,543997,184122,London Road,Barking and Dagenham,16,Barking,347
10603,Blake Avenue,545380,183925,Ripple Road,Barking and Dagenham,16,Barking,347
19413,Barking Town Centre,544231,184187,London Road,Barking and Dagenham,16,Barking,347
15112,Longbridge Road,544497,184586,Fanshawe Avenue,Barking and Dagenham,16,Barking,347
18810,Park Avenue,544667,184579,Longbridge Road,Barking and Dagenham,16,Barking,347
19601,Hulse Avenue / Barking Park,544870,184769,Longbridge Road,Barking and Dagenham,16,Barking,347
10700,Thurlestone Avenue,545661,185358,Longbridge Road,Redbridge,14,Barking,347
10100,Capel Gardens,545892,185495,Longbridge Road,Redbridge,14,Barking,347
14101,King Edwards Road,544724,183764,Ripple Road,Barking and Dagenham,16,Barking,347
13302,Greatfields Park,545163,183521,Movers Lane,Barking and Dagenham,16,Barking,347
19406,Tudor Road,545615,183950,Ripple Road,Barking and Dagenham,16,Barking,347
17300,Barking Bus Garage,545409,185149,Longbridge Road,Barking and Dagenham,16,Barking,347
12509,Levett Road,545387,184880,Upney Lane,Barking and Dagenham,16,Barking,347
10103,Salisbury Avenue,545453,184706,Upney Lane,Barking and Dagenham,16,Barking,347
17401,Barking Community Hospital,545718,184459,Upney Lane,Barking and Dagenham,16,Barking,347
19402,Upney Station <>,545883,184225,Upney Lane,Barking and Dagenham,16,Barking,347
10610,Barking Station <> #,544437,184322,Station Parade,Barking and Dagenham,16,Barking,347
19906,Gascoigne Primary School,544365,183591,Gascoigne Road,Barking and Dagenham,16,Barking,347
10701,St Margarets,544670,183686,King Edward'S Road,Barking and Dagenham,16,Barking,347
13301,"Barking Bus Garage, Fair Cross",545337,184972,Upney Lane,Barking and Dagenham,16,Barking,347
17405,Barking Abbey,544094,184066,North Street,Barking and Dagenham,16,Barking,347
17202,Cowbridge Lane,543938,184497,North Street,Barking and Dagenham,16,Barking,347
11009,Vicarage Field Shopping Centre,544394,184100,Ripple Road,Barking and Dagenham,16,Barking,347
19600,Sunningdale Avenue,544484,183959,Ripple Road,Barking and Dagenham,16,Barking,347
19602,Barking Station,544507,184421,Longbridge Road,Barking and Dagenham,16,Barking,347
15909,Shearwater Close,546413,182565,Galleons Drive,Barking and Dagenham,16,Barking Riverside,169
17110,Barking Riverside,546457,182405,Mallards Road,Barking and Dagenham,16,Barking Riverside,169
14608,Rivergate Centre,546430,182428,Mallards Road,Barking and Dagenham,16,Barking Riverside,169
12906,Tomswood Hill,544468,190603,Fencepiece Road,Redbridge,14,Barkingside Fairlop,313
19801,Barkingside Station <>,544536,189677,Tanners Lane,Redbridge,14,Barkingside Fairlop,313
17305,Barkingside Magistrates Court,544294,189733,Tanners Lane,Redbridge,14,Barkingside Fairlop,313
13213,Sandringham Gardens,544429,189743,Tanners Lane,Redbridge,14,Barkingside Fairlop,313
15510,Waverley Gardens,544382,190075,Barkingside High Street,Redbridge,14,Barkingside Fairlop,313
13210,Lord Avenue,542536,189264,Woodford Avenue,Redbridge,14,Barkingside Fairlop,313
10601,Woodford Bridge Road,542447,189359,Woodford Avenue,Redbridge,14,Barkingside Fairlop,313
18202,Brandville Gardens,544112,189464,Cranbrook Road,Redbridge,14,Barkingside Fairlop,313
15100,Barkingside High Street,544272,189985,Fremantle Road,Redbridge,14,Barkingside Fairlop,313
12913,Mossford Lane,543851,190058,Clayhall Avenue,Redbridge,14,Barkingside Fairlop,313
13611,Beaminster Gardens,543598,190065,Clayhall Avenue,Redbridge,14,Barkingside Fairlop,313
10710,Berkeley Avenue,543411,190072,Clayhall Avenue,Redbridge,14,Barkingside Fairlop,313
17409,Caterham Avenue,543063,190100,Clayhall Avenue,Redbridge,14,Barkingside Fairlop,313
19607,Couchmore Avenue,542623,190099,Clayhall Avenue,Redbridge,14,Barkingside Fairlop,313
10705,Claybury Broadway,542100,190010,Clayhall Avenue Bus Lay-By,Redbridge,14,Barkingside Fairlop,313
14603,Fullwell Cross,544469,190248,Barkingside High Street,Redbridge,14,Barkingside Fairlop,313
14807,Fremantle Road,544299,189926,Barkingside High Street,Redbridge,14,Barkingside Fairlop,313
20108,Barkingside Police Station,544271,189830,Barkingside High Street,Redbridge,14,Barkingside Fairlop,313
16408,Aintree Crescent,544284,190438,Fullwell Avenue,Redbridge,14,Barkingside Fairlop,313
15101,Fencepiece Road,544413,190562,Tomswood Hill,Redbridge,14,Barkingside Fairlop,313
11105,Clayhall / The Glade,542847,190612,Fullwell Avenue,Redbridge,14,Barkingside Fairlop,313
18813,Barkingside Tesco,544270,189571,Tesco Access Road,Redbridge,14,Barkingside Fairlop,313
10708,Peel Drive,542395,190105,Clayhall Avenue,Redbridge,14,Barkingside Fairlop,313
12513,Peareswood Road,551588,177021,Northend Road,Bexley,18,Barnehurst,69
12909,Dale View,551991,176471,Whitehall Lane,Bexley,18,Barnehurst,69
17212,Parkside Avenue / Manor Way,550723,176098,Parkside Avenue,Bexley,18,Barnehurst,69
16511,Howbury Lane / Slade Green Station #,552235,176487,Howbury Lane,Bexley,18,Barnehurst,69
18210,Northall Road / Barnehurst Station #,550210,176151,Northall Road,Bexley,18,Barnehurst,69
16501,Parkside Cross,550937,176088,Parkside Avenue,Bexley,18,Barnehurst,69
18709,Northend Road / Colyers Lane,551584,176793,Northend Road,Bexley,18,Barnehurst,69
11109,Colyers Walk,551105,176892,Colyers Lane,Bexley,18,Barnehurst,69
15512,Masefield Close,551961,176692,Bridge Road,Bexley,18,Barnehurst,69
20103,Barnehurst Road / Randolph Close,550138,175915,Barnehurst Road,Bexley,18,Barnehurst,69
15803,Bridge Road / Whitehall Lane,551804,176538,Bridge Road,Bexley,18,Barnehurst,69
19903,Whitehall Lane / Bridge Road,551776,176475,Whitehall Lane,Bexley,18,Barnehurst,69
11111,Washington Road,522518,177172,Castelnau,Richmond upon Thames,24,Barnes,198
14107,Newport Road,522452,176957,Castelnau,Richmond upon Thames,24,Barnes,198
19510,Glebe Road,522126,176523,Church Road,Richmond upon Thames,24,Barnes,198
15902,Barnes High Street,521732,176407,Barnes High Street,Richmond upon Thames,24,Barnes,198
19612,Caledonian Road Station <>,530595,184924,Caledonian Road,Islington,3,Barnsbury,377
13200,Hillmarton Road,530590,185197,Caledonian Road,Islington,3,Barnsbury,377
11613,North Road / Hillmarton Road,530533,185168,Hillmarton Road,Islington,3,Barnsbury,377
18004,Lough Road,530912,185015,Mackenzie Road,Islington,3,Barnsbury,377
11108,Offord Road,531127,184478,Westbourne Road,Islington,3,Barnsbury,377
20109,Lowther Road,531034,185083,Mackenzie Road,Islington,3,Barnsbury,377
10600,Market Road Gardens,530485,184773,Market Road,Islington,3,Barnsbury,377
12506,Caledonian Road / Market Road Gardens,530497,184787,Market Road,Islington,3,Barnsbury,377
14802,Ellington Street,531014,184670,Westbourne Road,Islington,3,Barnsbury,377
10109,The Latchmere,527487,176462,Battersea Bridge Road,Wandsworth,10,Battersea,20
12912,Battersea Bridge,527075,177231,Battersea Bridge Road,Wandsworth,10,Battersea,20
17010,Battersea Bridge / Hester Road,527103,177219,Battersea Bridge Road,Wandsworth,10,Battersea,20
15808,Petworth Street,527355,176810,Battersea Bridge Road,Wandsworth,10,Battersea,20
13610,Harris Academy / Battersea,527981,176613,Battersea Park Road,Wandsworth,10,Battersea,20
20102,Battersea Park Library,528278,176681,Battersea Park Road,Wandsworth,10,Battersea,20
11705,Macduff Road,528378,176731,Battersea Park Road,Wandsworth,10,Battersea,20
14105,Battersea High Street,526754,176623,Vicarage Crescent,Wandsworth,10,Battersea,20
10808,Sopwith Way,528651,177241,Queenstown Road,Wandsworth,10,Battersea,20
13609,Manor Road,537446,169515,Beckenham High Street,Bromley,19,Beckenham,250
14109,Beckenham High Street / War Memorial,537084,169357,Beckenham High Street,Bromley,19,Beckenham,250
17307,Croydon Road / War Memorial,536933,169342,Croydon Road,Bromley,19,Beckenham,250
19900,Beckenham Library,536539,169548,Beckenham Road,Bromley,19,Beckenham,250
10608,Brackley Road,537461,170394,Southend Road,Bromley,19,Beckenham,250
18101,Beckenham Junction Station # >T<,537435,169662,Beckenham High Street,Bromley,19,Beckenham,250
17205,Copers Cope Road,537472,169986,Southend Road,Bromley,19,Beckenham,250
14104,Hayne Road,536737,169490,Beckenham Road,Bromley,19,Beckenham,250
18203,St Edmund'S Hall,537147,169300,Village Way,Bromley,19,Beckenham,250
11113,Beckenham Junction Stn # >T</ Rectory Rd,537409,169826,Beckenham Junction Station Forecourt,Bromley,19,Beckenham,250
17103,Vicarage Drive,537042,169618,Rectory Road,Bromley,19,Beckenham,250
17701,Blakeney Road / Hayne Road,536871,169837,Blakeney Road,Bromley,19,Beckenham,250
17404,Old School Close,536054,169329,Churchfields Road,Bromley,19,Beckenham,250
18802,Blandford Road,536191,169550,Churchfields Road,Bromley,19,Beckenham,250
20105,Kent House Station #,535997,169726,Beckenham Road,Bromley,19,Beckenham,250
13306,Silverwood Close,537152,170405,Brackley Road,Bromley,19,Beckenham,250
13612,Catford Police Station,538039,172116,Bromley Road,Lewisham,7,Beckenham Hill,265
11008,Green Man Community Hub,538321,171752,Bromley Road,Lewisham,7,Beckenham Hill,265
11110,Southend Lane / Bromley Road,538190,171775,Southend Lane,Lewisham,7,Beckenham Hill,265
16508,Dunfield Road,537954,171601,Southend Lane,Lewisham,7,Beckenham Hill,265
19500,Whitefoot Lane / Bromley Road,538313,171896,Whitefoot Lane,Lewisham,7,Beckenham Hill,265
18006,Southend Lane,538133,171937,Bromley Road,Lewisham,7,Beckenham Hill,265
16504,Tollgate Road,543062,181741,Woolwich Manor Way,Newham,17,Beckton,13
21000,Albatross Close,543023,181958,Woolwich Manor Way,Newham,17,Beckton,13
19507,Swallow Street,542562,181694,Tollgate Road,Newham,17,Beckton,13
16502,Beckton Station [Dlr],543108,181432,Woolwich Manor Way,Newham,17,Beckton,13
18001,Covelees Wall,543375,181261,Woolwich Manor Way,Newham,17,Beckton,13
13311,Ferndale Street,543613,181107,Ferndale Street,Newham,17,Beckton,13
15502,Beckton Bus Station,543019,181471,Beckton Bus Station,Newham,17,Beckton,13
13312,Kingsford Way,542782,181681,Tollgate Road,Newham,17,Beckton,13
14100,Martins Corner / Valence Avenue,547732,185803,Wood Lane,Barking and Dagenham,16,Becontree,62
18105,Lindisfarne Road,547550,186200,Bennett'S Castle Lane,Barking and Dagenham,16,Becontree,62
17702,Marlborough Road,547569,185426,Porters Avenue,Barking and Dagenham,16,Becontree,62
11100,Wroxall Road,547417,185089,Gale Street,Barking and Dagenham,16,Becontree,62
11700,Becontree Station <>,547636,184542,Gale Street,Barking and Dagenham,16,Becontree,62
19807,Gale Street,547701,184370,Hedgemans Road,Barking and Dagenham,16,Becontree,62
18102,Hatfield Road,548421,184464,Hedgemans Road,Barking and Dagenham,16,Becontree,62
21008,The Sydney Russell School,548047,185474,Parsloes Avenue,Barking and Dagenham,16,Becontree,62
11004,Barnmead Road,548739,185023,Parsloes Avenue,Barking and Dagenham,16,Becontree,62
17210,Singleton Road,548787,185012,Parsloes Avenue,Barking and Dagenham,16,Becontree,62
12907,Lindsey Road,546977,185732,Longbridge Road,Barking and Dagenham,16,Becontree,62
15106,Stamford Road / Health Centre,547525,184346,Woodward Road,Barking and Dagenham,16,Becontree,62
18013,Becontree Avenue,546622,185781,Longbridge Road,Barking and Dagenham,16,Becontree,62
11600,Parsloes Avenue,547773,185701,Porters Avenue,Barking and Dagenham,16,Becontree,62
18107,Cornwallis Road,547866,185700,Parsloes Avenue,Barking and Dagenham,16,Becontree,62
11000,Plough Lane,530219,164003,Stafford Road,Sutton,21,Beddington,159
20107,Mellows Park,530075,163987,Stafford Road,Sutton,21,Beddington,159
13303,Guy Road,529950,164992,Croydon Road,Sutton,21,Beddington,159
13606,Croydon Road / Plough Lane,530149,164842,Croydon Road,Sutton,21,Beddington,159
18610,Wilson'S School,530354,163889,Mollison Drive,Sutton,21,Beddington,159
21005,Spitfire Road,530364,163320,Mollison Drive,Sutton,21,Beddington,159
11011,St Elphege'S School,530393,163555,Mollison Drive,Sutton,21,Beddington,159
10609,Garden Close,530196,164190,Plough Lane,Sutton,21,Beddington,159
14113,Bethany Waye,509311,173931,Staines Road,Hounslow,25,Bedfont,196
16404,Hounslow Road,510920,174469,Staines Road,Hounslow,25,Bedfont,196
11706,St Dunstans Road,509874,172224,Feltham High Street,Hounslow,25,Bedfont,196
15910,Browells Lane,510500,172823,Feltham High Street,Hounslow,25,Bedfont,196
10707,Elmwood Avenue,510350,172597,Feltham High Street,Hounslow,25,Bedfont,196
18201,Chertsey Road,509588,172122,Ashford Road,Hounslow,25,Bedfont,196
18603,The Vale,511026,174456,Hounslow Road,Hounslow,25,Bedfont,196
11702,Vernon Road,510006,172330,Feltham High Street,Hounslow,25,Bedfont,196
19603,Ludlow Road,509943,171918,Sunbury Road,Hounslow,25,Bedfont,196
13207,Carlton Avenue,510987,174198,Hounslow Road,Hounslow,25,Bedfont,196
20110,Lower Feltham / Three Horseshoes,509574,171892,Walton Gardens,Hounslow,25,Bedfont,196
14806,Hazelmere Close,508958,174405,Hatton Road,Hounslow,25,Bedfont,196
13211,West Road,508672,174056,Hatton Road,Hounslow,25,Bedfont,196
11602,Bedfont Close,508511,173883,Hatton Road,Hounslow,25,Bedfont,196
16411,Spinney Drive,508391,173770,Stanwell Road,Hounslow,25,Bedfont,196
10803,Bedfont Library,508839,173736,Staines Road,Hounslow,25,Bedfont,196
17403,Feltham Station #,510517,173290,Feltham Station Forecourt,Hounslow,25,Bedfont,196
20106,Denham Road,511020,174058,Carlton Avenue,Hounslow,25,Bedfont,196
12911,Sparrow Farm Drive,511520,173916,Sparrow Farm Drive (Northern Section),Hounslow,25,Bedfont,196
10101,Belmont Station # / Brighton Road,525637,162156,Brighton Road,Sutton,21,Belmont,38
10809,Royal Marsden Hospital / Downs Road,525990,161929,Downs Road,Sutton,21,Belmont,38
17108,Downs Road / Banstead Road South,526263,161796,Downs Road,Sutton,21,Belmont,38
13308,Gatton Close,525837,162613,Brighton Road,Sutton,21,Belmont,38
17708,Downs Road / Belmont Station #,525857,162002,Cotswold Road,Sutton,21,Belmont,38
17203,Belmont Station #,525615,162050,Downs Road,Sutton,21,Belmont,38
10800,Belsize Park Station <>,527317,185115,Haverstock Hill,Camden,2,Belsize Park,296
17201,England'S Lane,527567,184645,England'S Lane,Camden,2,Belsize Park,296
19902,Belsize Square,526832,184800,Belsize Park,Camden,2,Belsize Park,296
12504,Steele'S Road / Steele'S Village,527838,184676,Haverstock Hill,Camden,2,Belsize Park,296
17709,Belsize Village,526989,184965,Belsize Avenue,Camden,2,Belsize Park,296
17311,Belvedere Police Station,549277,178400,Picardy Road,Bexley,18,Belvedere,66
19401,Kentish Road,549350,178695,Picardy Road,Bexley,18,Belvedere,66
17100,Gilbert Road,549228,179112,Gilbert Road,Bexley,18,Belvedere,66
12910,Halt Robin Lane,549829,179009,Lower Road,Bexley,18,Belvedere,66
19908,Parsonage Manorway,549071,177552,Bedonwell Road,Bexley,18,Belvedere,66
