Stop_Code,Stop_Name,Location_Easting,Location_Northing,Road_Name,Borough,Borough_ID,Suggested_Locality,Locality_ID
17207,Abbey Wood Road,547362,178860,Knee Hill,Greenwich,6,Abbey Wood,263
13212,Greening Street,547150,178737,Mcleod Road,Greenwich,6,Abbey Wood,263
18112,Mcleod Road / Bostall Lane,546900,178668,Mcleod Road,Greenwich,6,Abbey Wood,263
14610,Bostall Gardens,546684,178596,Mcleod Road,Greenwich,6,Abbey Wood,263
17706,Cassilda Road,546410,178519,Basildon Road,Greenwich,6,Abbey Wood,263
17411,Eynsham Drive / Blithdale Road,546438,178841,Eynsham Drive,Greenwich,6,Abbey Wood,263
15809,Harrow Manorway / Yarnton Way,547347,179498,Harrow Manor Way,Bexley,18,Abbey Wood,263
18604,Overton Road,547358,179302,Harrow Manor Way,Bexley,18,Abbey Wood,263
14601,Harrow Manorway / Lensbury Way,547341,179416,Harrow Manor Way,Greenwich,6,Abbey Wood,263
14613,Hartslock Drive,547816,179628,Yarnton Way,Bexley,18,Abbey Wood,263
15905,Limestone Walk,547884,179651,Yarnton Way,Bexley,18,Abbey Wood,263
13604,The Business Academy,548222,179547,Yarnton Way,Bexley,18,Abbey Wood,263
19806,Harrow Manorway / Abbey Wood Station #,547430,179022,Harrow Manor Way,Bexley,18,Abbey Wood,263
16500,Woodhurst Road,546258,178750,Blithdale Road,Greenwich,6,Abbey Wood,263
18803,Brookdene Road,546087,178737,Blithdale Road,Greenwich,6,Abbey Wood,263
21012,Sedgemere Road,547401,179242,Sedgemere Road,Bexley,18,Abbey Wood,263
11102,Lanridge Road,547784,179103,Alsike Road,Bexley,18,Abbey Wood,263
10604,Buckwheat Court,547956,179115,Alsike Road,Bexley,18,Abbey Wood,263
15506,Parkway,548292,179409,Alsike Road,Bexley,18,Abbey Wood,263
18009,Abbey Wood Station,547384,179050,Harrow Manor Way,Bexley,18,Abbey Wood,263
15513,Bromyard Avenue,521384,180098,The Vale,Ealing,27,Acton,288
19802,Denehurst Gardens,519648,180240,Uxbridge Road,Ealing,27,Acton,288
18703,Acton Fire Station,519685,180172,Gunnersbury Lane,Ealing,27,Acton,288
17413,Steyne Road,519887,180197,Acton High Street,Ealing,27,Acton,288
13201,East Acton Lane,520993,180064,The Vale,Ealing,27,Acton,288
13313,Second Avenue,521651,180102,The Vale,Ealing,27,Acton,288
10105,Third Avenue,521632,180084,The Vale,Ealing,27,Acton,288
21001,Larden Road,521244,180086,The Vale,Ealing,27,Acton,288
19812,Acton Park,520818,180052,The Vale,Ealing,27,Acton,288
14602,Acton Central Station #,520658,180055,The Vale,Ealing,27,Acton,288
17009,Acton Old Town Hall,520353,180069,Acton High Street,Ealing,27,Acton,288
13601,Acton Park / Greenview Close,521054,180131,East Acton Lane,Ealing,27,Acton,288
18007,Acacia Road,520159,180836,Horn Lane,Ealing,27,Acton,288
18710,Creswick Road,520109,180686,Horn Lane,Ealing,27,Acton,288
11710,Faraday Road,520221,180949,Horn Lane,Ealing,27,Acton,288
17001,Goldsmith Close,520994,180455,East Acton Lane,Ealing,27,Acton,288
12900,Rosemont Road,519954,180349,Steyne Road,Ealing,27,Acton,288
11003,Acton Market Place,520033,180339,Horn Lane,Ealing,27,Acton,288
14609,King Street,519998,180152,Acton High Street,Ealing,27,Acton,288
13605,Wolsey Crescent,538059,162652,Montacute Road,Croydon,20,Addington,409
17313,Grenville Road,538182,162456,Montacute Road,Croydon,20,Addington,409
14805,Fieldway Tram Stop >T<,537741,163086,Lodge Lane,Croydon,20,Addington,409
15912,Salcot Crescent,538235,162273,Salcot Crescent,Croydon,20,Addington,409
18607,Central Parade,538431,161988,Central Parade,Croydon,20,Addington,409
19509,New Addington Baptist Church,538786,161900,Arnhem Drive,Croydon,20,Addington,409
11712,Calley Down Crescent,539065,161856,Arnhem Drive,Croydon,20,Addington,409
12905,King Henry'S Drive / Homestead Way,539328,161591,King Henry'S Drive,Croydon,20,Addington,409
